,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
1624,57.0,60.0,86.0,80.0,7.91,7.03,8.74,89.0,10.0,7.0,5.27,5.0,1.94,1.35,3.74,0.89,0.69,59.0,15.293,7.03,24.5,17.1,3.29,41.6,0.36
1625,52.0,30.0,37.0,74.0,6.86,6.28,8.48,91.0,13.0,12.0,4.79,7.0,1.89,1.63,2.76,0.59,0.77,67.0,14.7656,6.28,27.6,23.8,3.52,51.3,0.55
1626,53.0,40.0,48.0,76.0,7.85,7.14,9.46,91.0,11.0,10.0,0.0,7.0,2.07,1.58,3.5,0.72,1.0,69.0,15.4932,7.14,26.4,20.1,3.65,46.5,0.36
1627,50.0,91.0,75.0,39.0,3.85,3.6,9.35,93.0,4.0,2.0,0.0,2.0,1.08,0.64,1.88,0.26,0.92,66.0,14.7412,3.6,28.1,16.6,1.72,44.7,0.36
1628,54.0,37.0,37.0,65.0,6.97,5.34,8.15,77.0,10.0,7.0,0.0,4.0,1.19,1.52,2.63,1.64,2.34,61.0,16.3477,7.63,17.1,21.8,2.71,38.9,0.36
1629,53.0,45.0,53.0,70.0,8.82,7.06,10.07,80.0,7.0,5.0,11.05,6.0,2.49,2.38,2.19,1.77,1.34,69.0,16.2305,7.06,28.2,27.0,4.87,55.2,0.36
1630,55.0,31.0,38.0,88.0,9.86,8.06,9.2,82.0,20.0,13.0,0.0,5.0,2.72,1.84,3.49,1.82,1.48,73.0,15.1758,8.06,27.6,18.7,4.56,46.2,0.36
1631,58.0,46.0,47.0,75.0,6.91,6.7,8.96,97.0,12.0,6.0,1.91,5.0,2.09,1.19,3.42,0.22,0.59,35.0,17.2266,6.7,30.2,17.2,3.28,47.5,0.36
1632,53.0,62.0,80.0,70.0,6.93,6.33,9.02,91.0,9.0,6.0,2.88,6.0,2.56,1.46,2.31,0.61,1.23,50.0,15.7617,6.33,36.9,21.1,4.02,58.0,0.55
1633,54.0,75.0,89.0,73.0,7.76,7.17,9.78,92.0,13.0,12.0,2.39,6.0,2.06,0.95,4.17,0.59,1.15,52.0,15.7031,7.17,26.5,12.2,3.01,38.8,0.36
1634,57.0,64.0,71.0,71.0,7.43,6.94,9.79,93.0,11.0,10.0,2.88,7.0,2.38,1.18,3.38,0.5,1.33,59.0,17.1338,6.94,32.0,15.9,3.56,47.9,0.36
1635,55.0,72.0,69.0,100.0,8.13,6.28,8.63,92.0,12.0,10.0,0.0,6.0,1.98,1.29,3.75,0.51,0.0,66.0,17.6367,7.22,24.2,18.8,3.02,41.8,0.36
1636,55.0,71.0,83.0,69.0,7.09,6.7,9.75,95.0,9.0,8.0,0.0,4.0,2.34,1.36,3.01,0.39,1.11,56.0,16.7578,6.7,33.0,19.2,3.7,52.2,0.36
