,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
451,71.0,67.0,54.0,52.0,5.78,5.6,10.87,97.0,14.87,6.0,0.0,4.0,2.65,1.19,1.76,0.18,1.93,62.587,15.879,5.6,45.8,20.6,5.41,61.5,0.378
452,70.0,71.0,28.0,56.0,6.08,5.76,10.37,95.0,14.87,8.0,0.0,4.0,1.86,0.98,2.93,0.33,1.39,69.0,16.523,5.76,30.6,16.1,3.5,50.0,0.378
453,66.0,95.0,53.0,61.0,6.93,6.46,10.6,93.0,12.0,11.0,0.0,4.0,1.8,1.07,3.59,0.48,1.7,82.0,15.488,6.46,26.0,15.4,2.74,43.0,0.378
454,71.0,74.0,36.0,57.0,6.5,5.94,10.37,91.0,14.87,16.0,0.0,5.0,1.45,1.14,3.35,0.57,1.51,78.0,16.23,5.94,22.3,17.5,3.58,48.3,0.378
455,71.0,90.0,44.0,33.0,3.84,3.56,10.64,93.0,14.87,7.0,0.0,3.0,1.0,0.27,2.29,0.28,1.66,62.0,16.406,3.56,26.0,7.0,2.87,41.4,0.378
456,74.0,72.0,36.0,63.0,6.07,5.69,9.09,94.0,14.87,11.0,0.0,3.0,1.41,0.89,3.38,0.39,2.59,57.0,17.285,8.15,23.2,14.7,4.01,58.9,0.378
457,69.0,74.0,28.0,28.0,3.22,2.91,10.49,90.0,4.0,2.0,3.38,2.0,0.62,0.46,1.83,0.31,1.84,75.0,17.461,2.91,19.3,14.3,3.67,57.1,0.378
458,62.0,93.0,94.0,70.0,7.81,7.4,10.54,95.0,14.87,13.0,0.0,7.0,1.81,1.41,4.17,0.43,1.86,62.587,15.486,7.4,23.2,18.1,3.21,38.4,0.378
459,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
460,59.693,84.066,59.546,76.393,7.781,6.891,8.911,88.866,14.87,11.626,2.886,5.302,2.045,1.372,3.473,0.897,0.982,62.587,16.455,7.178,26.373,17.787,3.415,44.139,0.378
